month,trip_id,vehicle_id,started_at,ended_at,duration,start_location_name,end_location_name,user_id,trip_ledger_id
June,1763403,5512242,2019-06-02 17:40:00,6/2/2019 17:52,0:12:12,"3216 Silver Ave SE, Albuquerque, NM 87106, USA","3005 Central Ave NE, Albuquerque, NM 87106, USA",35595911,1633800
June,1763409,3253166,2019-06-02 17:40:00,6/2/2019 17:59,0:19:00,"322 3rd St NW, Albuquerque, NM 87102, USA","315 Central Ave NW, Albuquerque, NM 87102, USA",37969644,1633965
June,1763411,8353188,2019-06-02 17:40:00,6/2/2019 17:52,0:12:04,"3216 Silver Ave SE, Albuquerque, NM 87106, USA","3005 Central Ave NE, Albuquerque, NM 87106, USA",35555440,1633801
June,1763453,2553822,2019-06-02 17:42:00,6/2/2019 17:59,0:16:57,"324 Tijeras Ave NW, Albuquerque, NM 87102, USA","358 Central Ave NW, Albuquerque, NM 87102, USA",37968097,1633970
June,1763496,1200063,2019-06-02 17:44:00,6/2/2019 17:59,0:14:57,"320 Tijeras Ave NW, Albuquerque, NM 87102, USA","315 Central Ave NW, Albuquerque, NM 87102, USA",36394517,1633957
June,1763524,1335100,2019-06-02 17:45:00,6/2/2019 18:19,0:34:09,"1105 Central Ave NW, Albuquerque, NM 87102, USA","1122 Central Ave SW, Albuquerque, NM 87102, USA",37967740,1634395
June,1763548,6162164,2019-06-02 17:46:00,6/2/2019 18:18,0:32:21,"518 Central Ave NW, Albuquerque, NM 87102, USA","517 Central Ave SW, Albuquerque, NM 87102, USA",37966015,1634371
June,1763562,4512613,2019-06-02 17:46:00,6/2/2019 18:18,0:31:46,"518 Central Ave SW, Albuquerque, NM 87102, USA","519 Central Ave SW, Albuquerque, NM 87102, USA",36873035,1634367
June,1763570,4947439,2019-06-02 17:47:00,6/2/2019 17:57,0:09:56,"3222 Silver Ave SE, Albuquerque, NM 87106, USA","3216 Silver Ave SE, Albuquerque, NM 87106, USA",37969687,1633900
June,1763575,7517845,2019-06-02 17:47:00,6/2/2019 17:56,0:09:30,"3216 Silver Ave SE, Albuquerque, NM 87106, USA","3216 Silver Ave SE, Albuquerque, NM 87106, USA",37970092,1633895
June,1763582,9570873,2019-06-02 17:47:00,6/2/2019 17:59,0:11:35,"1400 Central Ave SE, Albuquerque, NM 87106, USA","1300 Central Ave NE, Albuquerque, NM 87106, USA",37802276,1633949
June,1763590,9409803,2019-06-02 17:47:00,6/8/2019 1:26,127:38:17,"1307 Central Ave NE, Albuquerque, NM 87106, USA",,37802504,1702867
June,1763625,5105003,2019-06-02 17:49:00,6/2/2019 17:58,0:09:26,"100 4th St NW, Albuquerque, NM 87102, USA","400 Central Ave SW, Albuquerque, NM 87102, USA",11613109,1633945
June,1763628,1449819,2019-06-02 17:49:00,6/2/2019 17:58,0:08:46,"113 4th St NW, Albuquerque, NM 87102, USA","105 4th St NW, Albuquerque, NM 87102, USA",37973688,1633928
June,1763734,8513140,2019-06-02 17:54:00,6/2/2019 18:00,0:05:11,"720 1st St NW, Albuquerque, NM 87102, USA","225 Gold Ave SW, Albuquerque, NM 87102, USA",36200605,1633981
June,1763800,8218779,2019-06-02 17:57:00,6/2/2019 18:07,0:09:42,"1307 Central Ave NE, Albuquerque, NM 87106, USA","1400 Central Ave SE, Albuquerque, NM 87106, USA",37975116,1634139
June,1763835,5398061,2019-06-02 17:59:00,6/2/2019 18:08,0:09:25,"518 Central Ave NW, Albuquerque, NM 87102, USA","515 Central Ave SW, Albuquerque, NM 87102, USA",35600105,1634168
June,1763840,6029477,2019-06-02 17:59:00,6/2/2019 18:27,0:27:25,"401 3rd St NW, Albuquerque, NM 87102, USA","1215 Mountain Rd NE, Albuquerque, NM 87102, USA",37975241,1634600
June,1763852,1449819,2019-06-02 18:00:00,6/2/2019 18:10,0:10:41,"400 Gold Avenue SW Suite 240, Simms Building (the Breaking Bad bldg), Albuquerque, NM 87102, United States","1912 2nd St NW, Albuquerque, NM 87102, USA",37973688,1634214
June,1763855,5105003,2019-06-02 18:00:00,6/2/2019 18:10,0:10:29,"105 4th St NW, Albuquerque, NM 87102, USA","1912 2nd St NW, Albuquerque, NM 87102, USA",11613109,1634209
June,1763861,6287123,2019-06-02 18:00:00,6/2/2019 18:16,0:16:16,"1216 Lomas Blvd NW, Albuquerque, NM 87102, USA","102 Hazeldine Ave SW, Albuquerque, NM 87102, USA",37522104,1634334
June,1763865,9570873,2019-06-02 18:00:00,6/2/2019 18:01,0:00:43,"1300 Central Ave NE, Albuquerque, NM 87106, USA","1300 Central Ave NE, Albuquerque, NM 87106, USA",37802276,1634010
June,1763871,9002327,2019-06-02 18:00:00,6/2/2019 18:05,0:04:58,"Central @ Tingley, Albuquerque, NM 87104, USA","2500 Central Ave SW, Albuquerque, NM 87104, USA",35566644,1634098
